Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,extMoss
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,4000 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,15154
1,      0.20,15238
2,      0.30,15250
3,      0.40,15235
4,      0.50,14951
5,      0.60,14453
6,      0.70,14260
7,      0.80,14103
8,      0.90,14487
9,      1.00,14813
10,      1.10,15415
11,      1.20,16155
12,      1.30,16663
13,      1.40,16992
14,      1.50,16855
15,      1.60,16594
16,      1.70,16284
17,      1.80,15932
18,      1.90,15506
19,      2.00,14241
20,      2.10,11526
21,      2.20,7249
22,      2.30,3392
23,      2.40,1158
24,      2.50,312
25,      2.60,85
26,      2.70,36
27,      2.80,23
28,      2.90,49
29,      3.00,108
30,      3.10,350
31,      3.20,909
32,      3.30,1808
33,      3.40,2936
34,      3.50,3643
35,      3.60,3640
36,      3.70,3110
37,      3.80,2388
38,      3.90,1737
39,      4.00,1231
40,      4.10,990
41,      4.20,786
42,      4.30,757
43,      4.40,805
44,      4.50,879
45,      4.60,1038
46,      4.70,1155
47,      4.80,1359
48,      4.90,1454
49,      5.00,1456
50,      5.10,1290
51,      5.20,972
52,      5.30,664
53,      5.40,311
54,      5.50,686
55,      5.60,1357
56,      5.70,1140
57,      5.80,1102
58,      5.90,1618
59,      6.00,1698
60,      6.10,1853
61,      6.20,1691
62,      6.30,1718
63,      6.40,1512
64,      6.50,1386
65,      6.60,1281
66,      6.70,1129
67,      6.80,1075
68,      6.90,960
69,      7.00,830
70,      7.10,754
71,      7.20,665
72,      7.30,620
73,      7.40,604
74,      7.50,533
75,      7.60,481
76,      7.70,490
77,      7.80,462
78,      7.90,445
79,      8.00,424
80,      8.10,365
81,      8.20,321
82,      8.30,267
83,      8.40,245
84,      8.50,226
85,      8.60,198
86,      8.70,182
87,      8.80,169
88,      8.90,140
89,      9.00,129
90,      9.10,116
91,      9.20,97
92,      9.30,83
93,      9.40,79
94,      9.50,55
95,      9.60,48
96,      9.70,37
97,      9.80,45
98,      9.90,28
99,     10.00,34
100,     10.10,32
101,     10.20,24
102,     10.30,17
103,     10.40,9
104,     10.50,12
105,     10.60,15
106,     10.70,17
107,     10.80,13
108,     10.90,21
109,     11.00,11
110,     11.10,8
111,     11.20,12
112,     11.30,5
113,     11.40,1
114,     11.50,0
115,     11.60,8
116,     11.70,14
117,     11.80,5
118,     11.90,2
119,     12.00,4
120,     12.10,4
121,     12.20,25
122,     12.30,40
123,     12.40,98
124,     12.50,429
125,     12.60,1530
126,     12.70,4401
127,     12.80,10122
128,     12.90,16373
129,     13.00,19509
130,     13.10,18687
131,     13.20,16069
132,     13.30,15212
133,     13.40,17101
134,     13.50,19613
135,     13.60,21201
136,     13.70,21095
137,     13.80,19754
